premise	hypothesis	label	premise_yoruba	hypothesis_yoruba
And, she didn't really understand.	Alas, she was not able to understand clearly due to a language barrier.	1	Ni otitọ, ko ni oye.	Sibẹsibẹ, o ko le ni oye nitori aṣiṣe ede kan.
And, she didn't really understand.	Indeed, she did not comprehend.	0	Ni otitọ, ko ni oye.	Ṣugbọn o ko ni oye.
And, she didn't really understand.	She knew exactly what we were talking about.	2	Ni otitọ, ko ni oye.	O mọ ohun ti a n sọrọ nipa rẹ.
Maybe she told everyone else and I wasn't paying attention at that particular time.	I didn't hear her when she told everyone else.	0	O le sọ fun gbogbo eniyan miiran ati pe emi ko ṣe akiyesi ni akoko kanna.	Emi ko gbọ ti o ba sọ fun gbogbo eniyan.
Maybe she told everyone else and I wasn't paying attention at that particular time.	I heard everything she said.	2	O le sọ fun gbogbo eniyan miiran ati pe emi ko ṣe akiyesi ni akoko kanna.	Mo gbọ ohun gbogbo ti o sọ.
Maybe she told everyone else and I wasn't paying attention at that particular time.	I was talking to someone else at the time.	1	O le sọ fun gbogbo eniyan miiran ati pe emi ko ṣe akiyesi ni akoko kanna.	Mo n sọrọ pẹlu ẹnikan miiran ni akoko yẹn.
Only lost two, three aircraft while we was there, and, uh, test phase.	A couple of aircraft got lost because of the weather.	1	Nikan padanu meji, mẹta ofurufu nigba ti a wà nibẹ, ati, oh, igbeyewo alakoso.	Diẹ ninu awọn ọkọ ofurufu ti padanu nitori oju ojo.
Only lost two, three aircraft while we was there, and, uh, test phase.	A couple of aircraft were lost.	0	Nikan padanu meji, mẹta ofurufu nigba ti a wà nibẹ, ati, oh, igbeyewo alakoso.	Awọn ọkọ ofurufu diẹ padanu.
Only lost two, three aircraft while we was there, and, uh, test phase.	We've never lost an aircraft.	2	Nikan padanu meji, mẹta ofurufu nigba ti a wà nibẹ, ati, oh, igbeyewo alakoso.	A kò padanu ọkọ ofurufu kan.
I need you to do something for me.	I don't need any help.	2	Mo nilo lati ṣe nkankan fun mi.	Emi ko nilo iranlọwọ kankan.
I need you to do something for me.	It is a big job that I need done.	1	Mo nilo lati ṣe nkankan fun mi.	Eyi jẹ iṣẹ nla ti Mo nilo lati ṣe.
I need you to do something for me.	There is something I need done.	0	Mo nilo lati ṣe nkankan fun mi.	Eyi ni ohun ti Mo nilo lati ṣe.
oh it was Snake River oh Snake River with a lot of snakes in it	Despite its name, Snake River doesn't actually contain any snakes; it's named for its S-shape.	2	Oh o je ejò River oh ejò River pẹlu kan pupo ti ejò ninu o	Pelu orukọ rẹ, Odò Snake ko ni awọn ejò kankan; o jẹ orukọ fun apẹrẹ S rẹ.
oh it was Snake River oh Snake River with a lot of snakes in it	Snake River has lots of snapping turtles.	1	Oh o je ejò River oh ejò River pẹlu kan pupo ti ejò ninu o	Odò Snake ni ọpọlọpọ awọn kẹkẹ kẹkẹ.
oh it was Snake River oh Snake River with a lot of snakes in it	Snake River is filled with snakes.	0	Oh o je ejò River oh ejò River pẹlu kan pupo ti ejò ninu o	Odò ejò kún fún ejò.
exactly it's it's an active state it's not something that you can kind of you know be passively involved in and expect to do any good really i don't think	I think you have to devote 10 hours a day to be good at it.	1	gangan o ni o jẹ ẹya ti nṣiṣe lọwọ ipinle ti o ni ko ohun ti o le irú ti o mọ wa ni passively kopa ninu ati ki o reti lati se eyikeyi ti o dara gan i ko ro	Mo nireti pe o yẹ ki o lo awọn wakati 10 ni ọjọ kan lati ṣe itọju rẹ daradara.
exactly it's it's an active state it's not something that you can kind of you know be passively involved in and expect to do any good really i don't think	I think you need to be devoted to it to do well.	0	gangan o ni o jẹ ẹya ti nṣiṣe lọwọ ipinle ti o ni ko ohun ti o le irú ti o mọ wa ni passively kopa ninu ati ki o reti lati se eyikeyi ti o dara gan i ko ro	Mo ro pe o yẹ ki o ṣiṣẹ daradara.
exactly it's it's an active state it's not something that you can kind of you know be passively involved in and expect to do any good really i don't think	It's fine if you don't really take it seriously.	2	gangan o ni o jẹ ẹya ti nṣiṣe lọwọ ipinle ti o ni ko ohun ti o le irú ti o mọ wa ni passively kopa ninu ati ki o reti lati se eyikeyi ti o dara gan i ko ro	O dara pupọ ti o ko ba ṣe akiyesi rẹ daradara.
and that what i think is gonna be really interesting is what we do about it i mean we are gonna have to change the people who represent us	I just know it will be so boring and not worth changing those that represent us so we should not even try to change.	2	ati pe ohun ti mo ro ni yio jẹ gan awon ni ohun ti a ṣe nipa o i tumọ si a yoo ni lati yi awọn eniyan ti o soju wa	Mo nikan mọ o yoo jẹ ki boring ati ki o ko tọ iyipada awon ti o soju wa ki a yẹ ki o ko ani gbiyanju lati yi pada.
and that what i think is gonna be really interesting is what we do about it i mean we are gonna have to change the people who represent us	I think it will be challenging to change our representatives but worthwhile in the end.	1	ati pe ohun ti mo ro ni yio jẹ gan awon ni ohun ti a ṣe nipa o i tumọ si a yoo ni lati yi awọn eniyan ti o soju wa	Mo ro pe o jẹ iṣoro lati yipada awọn aṣoju wa ṣugbọn o wulo ni ipari.
and that what i think is gonna be really interesting is what we do about it i mean we are gonna have to change the people who represent us	We have to make changes to those that represent us.	0	ati pe ohun ti mo ro ni yio jẹ gan awon ni ohun ti a ṣe nipa o i tumọ si a yoo ni lati yi awọn eniyan ti o soju wa	A gbọdọ ṣe awọn ayipada si awọn ti o wa ni aṣoju.
and they can be very nice too after after they've been trained	They become hardened and cold once they complete the training.	2	Ati pe wọn tun le ṣe igbadun pupọ lẹhin ti wọn ti ṣe itọju.	Wọn ti wa ni tutu ati ki o tutu ni kete ti wọn ba pari ikẹkọ naa.
and they can be very nice too after after they've been trained	They change rapidly while undergoing training.	1	Ati pe wọn tun le ṣe igbadun pupọ lẹhin ti wọn ti ṣe itọju.	Wọn yipada ni kiakia lakoko ti wọn n ṣe ikẹkọ.
and they can be very nice too after after they've been trained	When they undergo training they can be quite pleasant.	0	Ati pe wọn tun le ṣe igbadun pupọ lẹhin ti wọn ti ṣe itọju.	Nigbati wọn ba ni ikẹkọ, wọn le jẹ igbadun pupọ.
and it can go on for ten twenty years i i think this is a little ridiculous	I think it's crazy that one lawsuit can go on so many years.	1	ati awọn ti o le lọ siwaju fun ogún ọdún Mo ro pe yi ni kekere a ridiculous	Mo ro pe o jẹ iyanu pe ọpọlọpọ awọn ọdun le ṣee ṣe.
and it can go on for ten twenty years i i think this is a little ridiculous	I think it's nuts that it can last so long.	0	ati awọn ti o le lọ siwaju fun ogún ọdún Mo ro pe yi ni kekere a ridiculous	Mo ro pe o dara julọ pe o le duro fun igba pipẹ.
and it can go on for ten twenty years i i think this is a little ridiculous	It only lasts a week.	2	ati awọn ti o le lọ siwaju fun ogún ọdún Mo ro pe yi ni kekere a ridiculous	O jẹ ọsẹ kan nikan.
yeah you you must've had a cordless	Correct the one you had was cordless.	0	Êàê ïîñëåäíèé ïîëó÷èëñÿ íà ïîëó÷èëñÿ íà ðàáîòó.	Ïðè ýòîì ïîñëåäíèêîìó ïðèâåñòè íà ðàáîòó íà ðàáîòó.
yeah you you must've had a cordless	The one you had was definitely a corded version only.	2	Êàê ïîñëåäíèé ïîëó÷èëñÿ íà ïîëó÷èëñÿ íà ðàáîòó.	Ni otitọ, ọkan ninu awọn ẹya ti o ni iriri ti o ni iriri ti o ni iriri nikan.
yeah you you must've had a cordless	You might have had one with an optional cord.	1	Êàê ïîñëåäíèé ïîëó÷èëñÿ íà ïîëó÷èëñÿ íà ðàáîòó.	O le ti ni ọkan ninu awọn aṣayan ti o ni imọran.
are you saying the teachers or the parents	Are you saying the students or the teacher's aide did it?	2	Ṣe o sọ fun awọn olukọ tabi awọn obi?	Ṣe o sọ pe awọn ọmọ ile-iwe tabi olutọju olukọni ṣe eyi?
are you saying the teachers or the parents	Is it the teachers or the parents?	0	Ṣe o sọ fun awọn olukọ tabi awọn obi?	Ṣé àwọn òbí tàbí àwọn olùkọ́ ni?
are you saying the teachers or the parents	What are you implying about the parents and the teachers?	1	Ṣe o sọ fun awọn olukọ tabi awọn obi?	Kini o tumọ si nipa awọn obi ati awọn olukọ?
well i guess it would i guess so well i don't know i i i really haven't sorted out all my feelings on the drug testing uh i'm totally straight would never consider using drugs	I am strongly against drug testing, there is no doubt in my mind about it.	2	daradara i ro o yoo i ro ki daradara i ko mọ i i i gan ti mo ti ko ti yà jade gbogbo awọn mi inú lori oògùn igbeyewo oh i'm totally straight would never consider using drugs	Emi ko ni iṣeduro lati ṣe idanwo oògùn, ṣugbọn ko si iyemeji nipa eyi.
well i guess it would i guess so well i don't know i i i really haven't sorted out all my feelings on the drug testing uh i'm totally straight would never consider using drugs	I guess I would be fine with being drug tested.	1	daradara i ro o yoo i ro ki daradara i ko mọ i i i gan ti mo ti ko ti yà jade gbogbo awọn mi inú lori oògùn igbeyewo oh i'm totally straight would never consider using drugs	Mo ro pe Emi yoo ni anfani lati ṣe idanwo oògùn.
well i guess it would i guess so well i don't know i i i really haven't sorted out all my feelings on the drug testing uh i'm totally straight would never consider using drugs	I think so but I have not gone through my emotions with regards to drug testing.	0	daradara i ro o yoo i ro ki daradara i ko mọ i i i gan ti mo ti ko ti yà jade gbogbo awọn mi inú lori oògùn igbeyewo oh i'm totally straight would never consider using drugs	Mo ro bẹẹ, ṣugbọn Emi ko ṣe iṣeduro awọn iṣoro mi nipa iṣeduro iṣeduro.
care about how the national news affects the local area	Concerned about the local places being affected by national news.	0	Ṣe akiyesi bi awọn iroyin ti o ni ipa lori agbegbe agbegbe.	Wọ́n ní ìbànújẹ́ nípa àwọn ìròyìn orílẹ̀-èdè tí ìròyìn orílẹ̀-èdè ń ṣẹlẹ̀.
care about how the national news affects the local area	I could care less what the national news covers with concerns about our local areas.	2	Ṣe akiyesi bi awọn iroyin ti o ni ipa lori agbegbe agbegbe.	Emi ko le ṣàníyàn ohun ti awọn iroyin orilẹ-ede bo pẹlu awọn ifiyesi nipa awọn agbegbe wa.
care about how the national news affects the local area	The national news outlets make our local places seem backwards.	1	Ṣe akiyesi bi awọn iroyin ti o ni ipa lori agbegbe agbegbe.	Awọn ile-iṣẹ iroyin ti orilẹ-ede jẹ ki awọn agbegbe wa dabi ẹni pe o wa lẹhin.
but no we usually you know skirt and skirt and blouse or suit or dress is is what you see down here so it's nice with me working at home because i can wear pants	I don't dress up when I work at home.	0	ṣugbọn ko si a maa n mọ jaketi ati jaketi ati aṣọ tabi aṣọ tabi aṣọ ni ohun ti o ri si isalẹ nibi ki o dara pẹlu mi ṣiṣẹ ni ile nitori mo le wọ sokoto	Emi ko ṣe aṣọ nigbati mo n ṣiṣẹ ni ile.
but no we usually you know skirt and skirt and blouse or suit or dress is is what you see down here so it's nice with me working at home because i can wear pants	I don't wear anything other than sweats when I work at home.	1	ṣugbọn ko si a maa n mọ jaketi ati jaketi ati aṣọ tabi aṣọ tabi aṣọ ni ohun ti o ri si isalẹ nibi ki o dara pẹlu mi ṣiṣẹ ni ile nitori mo le wọ sokoto	Emi ko lo ohunkohun miiran, ṣugbọn nigbati mo n ṣiṣẹ ni ile.
but no we usually you know skirt and skirt and blouse or suit or dress is is what you see down here so it's nice with me working at home because i can wear pants	I still wear dresses when I'm working at home because I feel fancier.	2	ṣugbọn ko si a maa n mọ jaketi ati jaketi ati aṣọ tabi aṣọ tabi aṣọ ni ohun ti o ri si isalẹ nibi ki o dara pẹlu mi ṣiṣẹ ni ile nitori mo le wọ sokoto	Mo n ṣiṣẹ ni ile nigbati mo n ṣiṣẹ ni ile, nitori Mo ni imọran ti o dara julọ.
yeah there there's something about having a place to live i don't know	Having a place to live is a dream come true.	1	Bẹẹni, nibẹ ni nkankan nipa nini ibi lati gbe Emi ko mọ	Lati ni ibi ti o fẹ lati gbe, o jẹ ala ti o ṣẹlẹ.
yeah there there's something about having a place to live i don't know	I don't really care if i have a place to live.	2	Bẹẹni, nibẹ ni nkankan nipa nini ibi lati gbe Emi ko mọ	Emi ko mọ boya Mo ni ibi kan lati gbe.
yeah there there's something about having a place to live i don't know	It's nice to have a place to live.	0	Bẹẹni, nibẹ ni nkankan nipa nini ibi lati gbe Emi ko mọ	O dara lati ni ibi kan lati gbe.
yeah yeah i you know i i wouldn't even mind so much if they had a um corporation that is financed	It would be easy to find out if the corporation was financed.	1	Bẹ́ẹ̀ ni, bẹ́ẹ̀ ni, mo mọ̀ pé èmi kò ní ṣe àníyàn tó púpọ̀ bí wọ́n bá ní ilé-iṣẹ́ kan tí wọ́n ń san owó	O rọrun lati mọ boya ile-iṣẹ naa ni owo.
yeah yeah i you know i i wouldn't even mind so much if they had a um corporation that is financed	It would make me angry to find out that they had financed the corporation.	2	Bẹ́ẹ̀ ni, bẹ́ẹ̀ ni, mo mọ̀ pé èmi kò ní ṣe àníyàn tó púpọ̀ bí wọ́n bá ní ilé-iṣẹ́ kan tí wọ́n ń san owó	Emi yoo binu lati rii daju wipe o ti wa ni owo ti awọn ile-iṣẹ.
yeah yeah i you know i i wouldn't even mind so much if they had a um corporation that is financed	It wouldn't bother me if the corporation was financed.	0	Bẹ́ẹ̀ ni, bẹ́ẹ̀ ni, mo mọ̀ pé èmi kò ní ṣe àníyàn tó púpọ̀ bí wọ́n bá ní ilé-iṣẹ́ kan tí wọ́n ń san owó	Emi ko ni ibanujẹ ti o ba jẹ pe ile-iṣẹ naa ni owo.
yeah it's ours up here we have our rural connections are real bad	The connections around here are sometimes okay.	1	Êàê íà ñàìîì äåðæàòåëüñòâóåò êàê íà ïîëó÷èëñÿ íà ðàáîòó.	Ni awọn igba miiran, awọn ibaraẹnisọrọ ti o wa nibẹ jẹ dara.
yeah it's ours up here we have our rural connections are real bad	We do not get good connections here.	0	Êàê íà ñàìîì äåðæàòåëüñòâóåò êàê íà ïîëó÷èëñÿ íà ðàáîòó.	A ko gba awọn asopọ ti o dara nibi.
yeah it's ours up here we have our rural connections are real bad	We have the best connections around here.	2	Êàê íà ñàìîì äåðæàòåëüñòâóåò êàê íà ïîëó÷èëñÿ íà ðàáîòó.	A ni awọn ọna asopọ ti o dara julọ nibi.
one of the benefits we get of course is travel	Traveling is my favorite part of it.	1	Ni otitọ, ọkan ninu awọn anfani ti o dara julọ wa ni irin-ajo.	Irin-ajo jẹ apakan ti o fẹ julọ ninu rẹ.
one of the benefits we get of course is travel	Traveling is one perk we get.	0	Ni otitọ, ọkan ninu awọn anfani ti o dara julọ wa ni irin-ajo.	Irin-ajo jẹ ọkan perk ti a gba.
one of the benefits we get of course is travel	We don't get any benefits.	2	Ni otitọ, ọkan ninu awọn anfani ti o dara julọ wa ni irin-ajo.	A ko ni anfani eyikeyi.
it's it's really bad it uh i	I have heard it is not good.	1	It's really bad. ì ¬ë ê° ì ê° ì ê° ì	Mo ti gbọ pe ko dara.
it's it's really bad it uh i	It is horrible.	0	It's really bad. ì ¬ë ê° ì ê° ì ê° ì	O jẹ ibanujẹ.
it's it's really bad it uh i	It's not bad at all.	2	It's really bad. ì ¬ë ê° ì ê° ì ê° ì	Ko si ohun buburu ni gbogbo.
These higher-order complexes of molecular devices arise because natural selection is able to act upon the collective properties of such molecular aggregates when those collective properties augment adaptive fitness.	All molecular devices are equally complex.	2	Awọn wọnyi ti o ga-ibere eka ti molikula awọn ẹrọ dide nitori adayeba asayan ni anfani lati sise lori awọn collective-ini ti iru molikula aggregates nigba ti awon collective-ini mu adaptive amọdaju.	Gbogbo awọn ohun elo ti o wa ni molikula jẹ iṣoro kanna.
These higher-order complexes of molecular devices arise because natural selection is able to act upon the collective properties of such molecular aggregates when those collective properties augment adaptive fitness.	More complex molecular devices can arise under some conditions.	0	Awọn wọnyi ti o ga-ibere eka ti molikula awọn ẹrọ dide nitori adayeba asayan ni anfani lati sise lori awọn collective-ini ti iru molikula aggregates nigba ti awon collective-ini mu adaptive amọdaju.	Awọn ẹrọ ti o lagbara julọ ti awọn molikula le dide labẹ awọn ipo.
These higher-order complexes of molecular devices arise because natural selection is able to act upon the collective properties of such molecular aggregates when those collective properties augment adaptive fitness.	These molecular devices are mostly used to produce various poisons for protection.	1	Awọn wọnyi ti o ga-ibere eka ti molikula awọn ẹrọ dide nitori adayeba asayan ni anfani lati sise lori awọn collective-ini ti iru molikula aggregates nigba ti awon collective-ini mu adaptive amọdaju.	Awọn ẹrọ molikula wọnyi ni a lo julọ lati gbe awọn eroja oriṣiriṣi fun aabo.
But I do not believe any such algorithmic tool can be complete.	The algorithm cannot decide how to make a perfect sandwich without human judgement.	1	Ṣugbọn Emi ko gbagbọ pe ohun elo algorithmic yii le pari.	Algorithm ko le pinnu bi o ṣe le ṣe sandwich pipe laisi idajọ eniyan.
But I do not believe any such algorithmic tool can be complete.	There is no tool that can completely solve this problem on its own.	0	Ṣugbọn Emi ko gbagbọ pe ohun elo algorithmic yii le pari.	Ko si ohun elo ti o le yanju iṣoro yii patapata.
But I do not believe any such algorithmic tool can be complete.	These tools work flawlessly under any circumstances.	2	Ṣugbọn Emi ko gbagbọ pe ohun elo algorithmic yii le pari.	Awọn irinṣẹ wọnyi n ṣiṣẹ laisi iṣoro ni eyikeyi ayidayida.
The law redeems not the individual but the community or the nation as a whole.	For redemption, individuals should turn to the law.	2	Ofin ko gba ẹni kọọkan, ṣugbọn agbegbe tabi orilẹ-ede ni gbogbo.	Fun iyipada, awọn eniyan yẹ ki o yipada si ofin.
The law redeems not the individual but the community or the nation as a whole.	The law will redeem America.	1	Ofin ko gba ẹni kọọkan, ṣugbọn agbegbe tabi orilẹ-ede ni gbogbo.	Òfin yóò gbà orílẹ̀-èdè Amẹ́ríkà.
The law redeems not the individual but the community or the nation as a whole.	The law will save the community and the nation.	0	Ofin ko gba ẹni kọọkan, ṣugbọn agbegbe tabi orilẹ-ede ni gbogbo.	Ofin yio gbà àwùjọ ati orilẹ-ède.
The constitutional text of 1787 had stipulated a right of slave owners to recover slaves who had escaped into free territory.	In 1787 a law was passed that stopped people from reclaiming any slaves that had made it to free lands.	2	Ìwé òfin ti 1787 ti sọ ẹ̀tọ́ àwọn tí ó ní ẹrú láti gba àwọn ẹrú tí wọ́n ti sá lọ sí agbègbè òmìnira.	Ni ọdun 1787 a ṣe ofin kan ti o da awọn eniyan silẹ lati mu awọn ẹrú eyikeyi ti o mu ki o jẹ alaafia.
